FID,FID_1,city,holc_grade,holc_id,name,geometry_k,uf_unique_,Shape__Are,Shape__Len,Shape__Area,Shape__Length
134,134,Los Angeles,C,C163, ,c693071f79af0b85,7074,4.83E-05,0.032508632,719884.5352,3889.84599
135,135,Los Angeles,C,C21, ,d2d94e18aaa68941,436,0.00017291,0.060632365,2588214.465,7535.796795
136,136,Los Angeles,C,C84, ,ede2cf004146f16e,7207,0.000127144,0.060944428,1902596.5,7183.902034
137,137,Los Angeles,B,B20, ,efe285d141646870,441,3.99E-05,0.030308825,597375.7734,3639.46765
138,138,Los Angeles,C,C49, ,a21652ef72fdcf84,7337,8.88E-05,0.043476765,1328399.668,5375.998662
139,139,Los Angeles,B,B24, ,31437c351516b830,7394,8.42E-05,0.054930585,1260491.43,6699.440857
140,140,Los Angeles,C,C121, ,d2446162cb3cdcec,7130,5.54E-05,0.03412236,828780.2422,4051.200474
141,141,Los Angeles,D,D36, ,22228353ff9ec702,7139,0.000235537,0.067145336,3522757.945,8083.630886
142,142,Los Angeles,B,B59, ,f53644df9c3abe38,7209,7.12E-05,0.034768227,1065192.563,4287.297558
143,143,Los Angeles,C,C166, ,2ba022db9701ceff,440,2.82E-05,0.025566825,421259.8398,3166.025644
144,144,Los Angeles,B,B62, ,eafd0b260b596895,892,6.06E-05,0.039709366,905795.3711,4862.578433
145,145,Los Angeles,C,C131, ,b11765dddd9e3952,6999,7.76E-05,0.040002971,1159542.504,4783.242408
146,146,Los Angeles,C,C110, ,16b5a211cc1b3f9c,7258,0.000176366,0.087103702,2637043.723,10436.09461
147,147,Los Angeles,D,D60, ,766c123e349a1530,7122,0.000654381,0.23995217,9778030.551,31023.62092
148,148,Los Angeles,A,A48, ,2b700242754cceb9,7112,9.21E-05,0.037733678,1376563.891,4660.279701
149,149,Los Angeles,D,D7, ,f4a6de0f01c3a627,7354,2.59E-05,0.020410435,388561.6797,2522.823047
150,150,Los Angeles,C,C114, ,3caec05d62ce2b02,7140,1.00E-04,0.043348144,1495219.031,5494.459539
151,151,Los Angeles,C,C102, ,ec9261dde127352a,7104,0.000147585,0.062031828,2205619.082,7440.098143
152,152,Los Angeles,D,D46, ,bca73fde505b83fe,7075,3.35E-05,0.025388734,500095.5273,2996.918923
153,153,Los Angeles,B,B92, ,d94415242a1b4456,7148,1.88E-05,0.017857123,281299.8906,2223.206104
154,154,Los Angeles,D,D39, ,8ff4a127f38be868,7164,0.000158638,0.08208367,2373579.75,9955.238804
155,155,Los Angeles,C,C39, ,991c42c641b2f369,7161,0.00047138,0.165970398,7052481.977,20047.10395
156,156,Los Angeles,A,A60, ,9051fc4c4c7226eb,7064,0.000110798,0.043035587,1651261.996,5422.791135
157,157,Los Angeles,B,B61, ,b6df4e23ab6a2b0a,7222,4.07E-05,0.026285718,609353.7617,3291.473549
158,158,Los Angeles,B,B96, ,240e3dcca4cfabc9,7134,0.000273574,0.095934275,4091945.652,11192.80458
159,159,Los Angeles,B,B41, ,6e17a614d535e809,7331,9.67E-05,0.056562054,1447601.918,6934.122366
160,160,Los Angeles,D,D12, ,ce51943b158b8813,7189,9.47E-05,0.092368603,1416981.594,11165.19043
161,161,Los Angeles,B,B77, ,ed708366e421e1e1,7165,0.000164174,0.065577689,2456730.988,8129.892567
162,162,Los Angeles,B,B65, ,10f538e1a38dbedb,7216,4.60E-05,0.027719311,688199.4531,3410.653872
163,163,Los Angeles,B,B84, ,53af20a5dfaa5916,7261,0.000141703,0.068463912,2116798.148,8670.666977
164,164,Los Angeles,B,B42, ,542806fba22262fa,7328,0.000157814,0.101386283,2361843.512,12412.90922
165,165,Los Angeles,D,D27, ,f8338127e6948506,7219,2.07E-05,0.017823229,309755.4609,2201.801108
166,166,Los Angeles,C,C97, ,8b784a013c4151e8,7375,0.000634184,0.13837255,9490057.922,16995.8979
167,167,Los Angeles,D,D48, ,6f41bee60183c433,7135,0.000330171,0.117553296,4937767.391,14310.75129
168,168,Los Angeles,D,D28, ,e0be432bb618a0f2,7202,3.87E-05,0.035273392,579235.9727,4389.043591
169,169,Los Angeles,B,B115, ,3e5c072293934e93,883,7.90E-05,0.060010808,1177787.012,7052.601119
170,170,Los Angeles,D,D54, ,a3ed68cc6ded9126,7159,0.001320175,0.211083009,19742111.27,26346.52507
171,171,Los Angeles,C,C60, ,f683dbd2b18c9bb8,7366,0.000373811,0.11707357,5590486.543,13932.2647
172,172,Los Angeles,C,C32, ,f86638cd618da49b,7347,0.000313181,0.157610252,4689181.305,18259.33828
173,173,Los Angeles,B,B17, ,20a1a3f028ac5ebf,7277,9.60E-05,0.077539843,1438075.906,9106.600409
174,174,Los Angeles,D,D13, ,d00d112603bf196,7370,0.000175528,0.11547262,2626591.551,14368.74009
175,175,Los Angeles,A,A56, ,413a5a700f450009,7391,0.000205199,0.082257452,3061377.082,9839.201289
176,176,Los Angeles,C,C27, ,8e34704859fd82a1,7379,0.000441951,0.116974031,6619362.109,14088.4808
177,177,Los Angeles,A,A12, ,95c8d9aed2d9bba4,7175,0.000258729,0.124197999,3873830.512,15434.0825
178,178,Los Angeles,D,D64, ,c7cee0e8f086b7da,7077,4.96E-05,0.032573076,739290.8594,4199.225122
